,content,Type,sentiment,preprocessed,pos_tags
0,Был ненаход (клад похоронили под слоем бетона). Но максимально вежливая поддержка и купончики от магазина порешали все вопросы! 10/10,А,1,ненаход клад похоронить слой бетон максимально вежливый поддержка купончик магазин порешать всё вопрос,VERB NOUN NOUN VERB ADP NOUN NOUN CCONJ ADV ADJ NOUN CCONJ NOUN ADP NOUN VERB DET NOUN NUM NUM
1,"10/10/10 хорошая прогулка, за хорошим феном. До новых встреч!",А,1,хороший прогулка хороший фен новый встреча,NUM NUM NUM ADJ NOUN ADP ADJ NOUN ADP ADJ NOUN
2,"Дома,соточки по всем параметрам,спасибо всей команде.РЕКОМЕНДУЮ ДАННЫЙ ШОП,перебрал много магазов,достойное качество только тут.Еще зайду)Не откажусь от купона))Всем добра.",А,1,дом соточка весь параметр спасибо весь команда рекомендовать данный шоп перебрать магаз достойный качество ещё зайти отказаться купон весь добро,ADV NOUN ADP DET NOUN NOUN DET ADJ ADJ PROPN VERB ADV NOUN ADJ NOUN PART NOUN ADV VERB PART VERB ADP NOUN DET NOUN
3,"Все супер, квест момент, Стафф как надо!",А,1,всё супер квест момент стаффа,PRON NOUN NOUN NOUN PROPN ADV ADV
4,всё хорошо,А,1,всё,PRON ADJ
5,"Касание, всё как обычно. Купил забрал сожрал)))10.10.10",А,1,касание всё обычно купить забрать сожрать,NOUN PRON SCONJ ADV VERB VERB VERB NUM
6,"В общем, видимо, в момент когда я решил сделать тут заказ, я попал в параллельную вселенную где все четко быстро и восторженные отзывы на странице действительно правда. Передам Вам свой опыт через этот отзыв. В общем в очередной раз, в попыхах пытаясь закинуть деньги на очередную покупку, я не рассчитал комиссии и тд, и в итоге не хватало 0.00002(это 70р по курсу, или чуть больше 100 через обмен на гидре) вонючих битка на 2гр клад. Так как я наркоман и денег у меня мало, пишу магазину с просьбой о купоне на эту сумму, получаю ответ в течении 10(!!!!!!!) минут с купоном на 150 рубасов. На радостях покупаю закладулю и еду за ним. Здесь оч крутой тайник и все ясно и понятно, от курьера 4(!) фотографии с места, панорамные где видно как туда пройти, и вблизи с точно указанной точкой где лежит. Все в хорошем качестве, и сверху еще развернутое описание текстом. Кароче, я приехал уже стемнело, и на месте почти нет уличного света, я сразу же сориентировался(благ. фоткам курьера) и просто в абсолютной темени без фонарика в касание снял заклад сунув просто руку туда куда указано, чуть ли не на ходу. Упаковка добротная, по весу на глаз правда 2гр есть, тайник оч крутой, беспалевный. По качеству, можно судить по тому сколько я написал уже ;), ну и правда качество здесь очень даже ок. В общем спасибо! Еще вернусь сюда. Итак джентльмены, отписал магазину в ЛС за призом за ежедневный конкурс, выдали купон на 1000 рублей, если это не рай, то что тогда вообще?! :) ",А,1,общий видимо момент решить сделать заказ попасть параллельный вселенная всё чётко быстро восторженный отзыв страница действительно правда передать свой опыт отзыв общий очередной попых пытаться закинуть деньга очередной покупка рассчитать комиссия тд итог хватать это 70р курс большой обмен гидра вонючий биток 2гр клад наркоман деньга мало писать магазин просьба купон сумма получать ответ течение минута купон рубасовый радость покупать закладуля еда оч крутой тайник всё ясно понятно курьер фотография место панорамный видно туда пройти вблизи точно указанный точка лежать всё хороший качество сверху ещё развернуть описание текст кароч приехать стемнеть место уличный свет сразу сориентироваться благо фотка курьер просто абсолютный темя фонарик касание снять заклад сунуть просто рука туда указать ход упаковка добротный вес глаз правда 2гр тайник оч крутой беспалевный качество судить сколько написать правда качество очень около общий спасибо ещё вернуться сюда итак джентльмен отписать магазин лс приз ежедневный конкурс выдать купон рубль это рай вообще,ADP ADJ ADV ADP NOUN SCONJ PRON VERB VERB ADV NOUN PRON VERB ADP ADJ NOUN ADV PART ADV ADV CCONJ ADJ NOUN ADP NOUN ADV ADV VERB PRON DET NOUN ADP DET NOUN ADP ADJ ADP ADJ NOUN ADP NOUN VERB VERB NOUN ADP ADJ NOUN PRON PART VERB NOUN CCONJ NOUN CCONJ ADP NOUN PART VERB NUM PRON NOUN ADP NOUN CCONJ ADV ADV NUM ADP NOUN ADP NOUN ADJ NOUN ADP NUM NOUN ADV SCONJ PRON NOUN CCONJ NOUN ADP PRON ADV VERB NOUN ADP NOUN ADP NOUN ADP DET NOUN VERB NOUN ADP NOUN NUM NOUN ADP NOUN ADP NUM NOUN ADP NOUN VERB NOUN CCONJ NOUN ADP PRON ADV ADV ADJ NOUN CCONJ PRON ADJ CCONJ ADJ ADP NOUN NUM NOUN ADP NOUN ADJ ADV ADV ADV ADV VERB CCONJ ADV ADP ADV VERB NOUN ADV VERB PRON ADP ADJ NOUN CCONJ ADV ADV VERB NOUN NOUN INTJ PRON VERB ADV VERB CCONJ ADP NOUN ADV VERB ADJ NOUN PRON ADV PART VERB NOUN NOUN NOUN CCONJ PART ADP ADJ NOUN ADP NOUN ADP NOUN VERB ADV VERB PART NOUN ADV ADV VERB ADV PART PART ADP NOUN NOUN ADJ ADP NOUN ADP NOUN NOUN PROPN VERB NOUN ADV ADJ ADJ ADP NOUN ADV VERB ADP PRON NUM PRON VERB ADV PART CCONJ ADV NOUN ADV ADV PART NOUN ADP ADJ NOUN ADV VERB ADV ADV NOUN VERB NOUN ADP PROPN ADP NOUN ADP ADJ NOUN VERB NOUN ADP NUM NOUN SCONJ PRON PART NOUN SCONJ PRON ADV ADV
7,"В касание, стафф хороший!",А,1,касание стаффа хороший,ADP NOUN NOUN ADJ
8,"Всё отлично, магазину процветания! Качество огонь! Только место не удачное рядом с отделом полиции!) много экипажей проехало, пришлось долго сидеть в тачке выжидать! ",А,1,всё отлично магазин процветание качество огонь место удачный рядом отдел полиция экипаж проехать прийтись долго сидеть тачка выжидать,PRON ADJ NOUN NOUN NOUN NOUN PART NOUN PART ADJ ADV ADP NOUN NOUN ADV NOUN VERB VERB ADV VERB ADP NOUN VERB
9,"В касание. Всё чётко, как всегда) магазину КМ респект)",А,1,касание всё чётко магазин км респект,ADP NOUN PRON ADJ SCONJ ADV NOUN NOUN NOUN
