content;Type;sentiment
Был ненаход (клад похоронили под слоем бетона). Но максимально вежливая поддержка и купончики от магазина порешали все вопросы! 10/10;А;1
10/10/10 хорошая прогулка, за хорошим феном. До новых встреч!;А;1
Дома,соточки по всем параметрам,спасибо всей команде.РЕКОМЕНДУЮ ДАННЫЙ ШОП,перебрал много магазов,достойное качество только тут.Еще зайду)Не откажусь от купона))Всем добра.;А;1
Все супер, квест момент, Стафф как надо!;А;1
всё хорошо;А;1
Касание, всё как обычно. Купил забрал сожрал)))10.10.10;А;1
"В общем, видимо, в момент когда я решил сделать тут заказ, я попал в параллельную вселенную где все четко быстро и восторженные отзывы на странице действительно правда. Передам Вам свой опыт через этот отзыв. В общем в очередной раз, в попыхах пытаясь закинуть деньги на очередную покупку, я не рассчитал комиссии и тд, и в итоге не хватало 0.00002(это 70р по курсу, или чуть больше 100 через обмен на гидре) вонючих битка на 2гр клад. Так как я наркоман и денег у меня мало, пишу магазину с просьбой о купоне на эту сумму, получаю ответ в течении 10(!!!!!!!) минут с купоном на 150 рубасов. На радостях покупаю закладулю и еду за ним. Здесь оч крутой тайник и все ясно и понятно, от курьера 4(!) фотографии с места, панорамные где видно как туда пройти, и вблизи с точно указанной точкой где лежит. Все в хорошем качестве, и сверху еще развернутое описание текстом. Кароче, я приехал уже стемнело, и на месте почти нет уличного света, я сразу же сориентировался(благ. фоткам курьера) и просто в абсолютной темени без фонарика в касание снял заклад сунув просто руку туда куда указано, чуть ли не на ходу. Упаковка добротная, по весу на глаз правда 2гр есть, тайник оч крутой, беспалевный. По качеству, можно судить по тому сколько я написал уже ;), ну и правда качество здесь очень даже ок. В общем спасибо! Еще вернусь сюда. Итак джентльмены, отписал магазину в ЛС за призом за ежедневный конкурс, выдали купон на 1000 рублей, если это не рай, то что тогда вообще?! :) ";А;1
В касание, стафф хороший!;А;1
Всё отлично, магазину процветания! Качество огонь! Только место не удачное рядом с отделом полиции!) много экипажей проехало, пришлось долго сидеть в тачке выжидать! ;А;1
В касание. Всё чётко, как всегда) магазину КМ респект);А;1
Ну вот я не понимаю, почему остальные магазины не могут так четко работать!!!!!! Приятно удивляюсь. Кура молодчик, всем советую, не зря магаз первый в списке всегда;А;1
Качество не топ, но своих денег стоит. Найдено без проблем.;А;1
Клад — надёжный, места — живописные, комары — пидарасы. ГэнгБэнг как всегда: дорого, но охуенно. ;А;1
есто найдено быстро, спрятано хорошо. Специфический запах и влага в пакете, испаряется моментально при попадании воздуха. В целом стафф рабочий. Всем респект.;А;1
снято в касание, стафф как всегда бомба! беру не первый раз. доволен;А;1
Клад в касание, стафф слабоват. UPD: он не слаб, а просто действует более мягко. Приятный и хороший стим без перегибов и сильных танцев челюстью. Отлично. ;А;1
В данном шопе работают адекватные ответливые люди, идут на встречу и всегда онлайн Работу данного шопа рекомендую смело.;А;1
Всё хорошо! Был сначала ненаход, но магазин выслушал меня и выдал другой адрес. Вообще, всё на уровне, обращайтесь сюда и качество и условия достойные! 10/10/10 ;А;1
Как всегда все четко!!! 10/10/10;А;1
Снят в касание. Стафф без запаха и вкуса, сначала подумал что наебалово, но после двух дорог распидорасило конкретно. КМ красава, такого четкого описания я нигде не видел. Правда далековато было идти. В целом покупкой очень доволен. По всем пунктам 10 баллов. Обязательно загляну в этот магазин еще не раз! Всем удачи, а магазину процветания!;А;1
Все супер, возникли трудности. Магазин пошел на уступки! Стаф;А;1
Всё супер. Добра всем));А;1
Был не наход и крайне долгий диспут, но по результату пришли к решению. В целом всё норм;А;1
Место 10,упаковка 10, качество достойное;А;1
Все гуд. только, лево и право перепутал. А так гуд. По качеству вроде норм. без лихних запахов и вкусов.;А;1
Всё нашлось, квест интересный, км красава. 7 баллов из-за меньшего веса чем заявлено, ровно 5 вместе с жиром, в остальном всё отлично!;А;1
Место топчик,а став на 3 балла из 10;А;1
На самом видном месте разместили! Возле лодочной станции ! Никогда больше там не закладывайте! Там куча людей, детей. Кладмену не зачёт!;А;1
Бляяя! Чувакиии! Стафф просто чумавой! 10 из 10! По самым строгим меркам! Камни твёрдые как орех! Заходит как к себе домой! Ничего не жжёт! Нет противного запаха. Цвет белоснежный! Советую брать большой вес. Там и камни покрупнее и в деньгах выгоднее! Кладмену РЕСПЕКТ отдельный все по полочкам разложил. С забором вообще не бывает проблем в этом магазине! Всем советую! Высшее качество! Гидротест соответствует! Магаз решает все в пользу клиента! Не знаю, то-ли кладмены сытые. То-ли система контроля у них какая-то налаженная. В общем не бодяжат. Одним словом надёжно. Как в запазухе у Х! Gang bang rulit! ;А;1
Не нашёл. Купон на 50% Дали. Магазин конечно старается;А;1
Спасибо, нашел. Фотографий много, определялся долго. Не в касание, и так далее. В целом неплохо, качество пойдёт, но есть лучше. Пацаны , надежно , качество на тройку;А;1
К сожалению ненаход, но проблему уладили);А;1
Забрал в касание, ещё не пробовал. Сам амф белоснежный. Конкретный недовес, диспут не стал открывать. По «настроению» дополню позже.;А;1
Это не станция Подлипки Дачные, а Мытищи Строитель!!!!!;А;1
"Район указан не верно, погрешность просто зашкаливает, уж лучше бы просто обозначили ""город"". Товар за свою цену сойдёт, вес не проверял. -3 за неточное место.";А;1
Амф средний , за свою цену пойдёт У кладмена географический кретинизм Находился около станций строители;А;1
Качество хорошее, поиски были на изи. Вот только небольшой недовес огорчил. Разрешить ситуацию не смогли. Впредь буду знать какие фото предоставлять в таких случаях! Процветания вам;А;1
Поднял в касание! За это спс! А вот качество хворает;А;1
хорошее место, настолько хорошее, что пришлось ждать, пока люди, которые приехали на пикник и находились в 2 метрах от клада свалят. но это даже украсило вечер. погуляли, пофоткали. приехали домой, кинули на весы. недовес 0.14 с грамма. округлим до минус 2 звёзд, с учётом, что это была покупка по купону после ненахода.;А;1
